time,hours_since_previous,mag,mag_previous
2015-04-15 09:00:00,2,2.26,2.59
2015-04-16 03:00:00,18,3.08,2.26
2015-04-16 05:00:00,2,2.53,3.08
2015-04-16 06:00:00,1,2.04,2.53
2015-04-16 08:00:00,2,2.35,2.04
2015-04-16 13:00:00,5,2.46,2.35
2015-04-16 21:00:00,8,2.22,2.46
2015-04-16 23:00:00,2,2.04,2.22
2015-04-17 08:00:00,9,2.15,2.04
2015-04-17 16:00:00,8,2.09,2.15
2015-04-18 03:00:00,11,2.28,2.09
2015-04-18 15:00:00,12,2.06,2.28
2015-04-18 18:00:00,3,2.41,2.06
2015-04-19 02:00:00,8,2.21,2.41
2015-04-19 03:00:00,1,2.43,2.21
2015-04-19 04:00:00,1,3.15,2.43
2015-04-19 05:00:00,1,2.6,3.15
2015-04-19 08:00:00,3,2.06,2.6
2015-04-19 12:00:00,4,2.05,2.06
2015-04-19 14:00:00,2,2.66,2.05
2015-04-19 17:00:00,3,2.76,2.66
2015-04-19 21:00:00,4,3.19,2.76
2015-04-20 00:00:00,3,2.55,3.19
2015-04-20 01:00:00,1,2.05,2.55
2015-04-20 02:00:00,1,2.27,2.05
2015-04-20 04:00:00,2,2.95,2.27
2015-04-20 14:00:00,10,2.13,2.95
2015-04-20 15:00:00,1,2.25,2.13
2015-04-20 16:00:00,1,2.22,2.25
2015-04-20 19:00:00,3,2.57,2.22
2015-04-20 21:00:00,2,2.12,2.57
2015-04-21 04:00:00,7,2.45,2.12
2015-04-21 08:00:00,4,2.14,2.45
2015-04-21 12:00:00,4,2.08,2.14
2015-04-21 16:00:00,4,2.68,2.08
2015-04-21 20:00:00,4,2.07,2.68
2015-04-21 21:00:00,1,2.68,2.07
2015-04-21 23:00:00,2,2.31,2.68
2015-04-22 01:00:00,2,2.28,2.31
2015-04-22 02:00:00,1,2.22,2.28
2015-04-22 06:00:00,4,2.19,2.22
2015-04-22 08:00:00,2,2.27,2.19
2015-04-22 10:00:00,2,2.05,2.27
2015-04-22 12:00:00,2,2.02,2.05
2015-04-22 13:00:00,1,2.37,2.02
2015-04-22 16:00:00,3,2.61,2.37
2015-04-23 00:00:00,8,2.18,2.61
2015-04-23 01:00:00,1,2.33,2.18
2015-04-23 04:00:00,3,2.79,2.33
2015-04-23 11:00:00,7,2.04,2.79
2015-04-23 14:00:00,3,2.43,2.04
2015-04-23 15:00:00,1,2.11,2.43
2015-04-23 19:00:00,4,2.14,2.11
2015-04-24 01:00:00,6,5.4,2.14
2015-04-24 02:00:00,1,3.0,5.4
2015-04-24 10:00:00,8,2.39,3.0
2015-04-24 15:00:00,5,2.38,2.39
2015-04-24 16:00:00,1,2.58,2.38
2015-04-24 19:00:00,3,2.26,2.58
2015-04-25 10:00:00,15,2.17,2.26
2015-04-25 11:00:00,1,2.62,2.17
2015-04-25 15:00:00,4,2.71,2.62
2015-04-25 16:00:00,1,3.28,2.71
2015-04-25 21:00:00,5,2.57,3.28
2015-04-26 02:00:00,5,2.27,2.57
2015-04-26 16:00:00,14,2.14,2.27
2015-04-26 21:00:00,5,2.37,2.14
2015-04-27 02:00:00,5,2.3,2.37
2015-04-27 05:00:00,3,2.48,2.3
2015-04-27 08:00:00,3,3.05,2.48
2015-04-27 09:00:00,1,2.29,3.05
2015-04-27 13:00:00,4,2.57,2.29
2015-04-27 22:00:00,9,2.12,2.57
2015-04-27 23:00:00,1,2.74,2.12
2015-04-28 00:00:00,1,3.23,2.74
2015-04-28 02:00:00,2,2.01,3.23
2015-04-28 08:00:00,6,2.61,2.01
2015-04-28 14:00:00,6,2.79,2.61
2015-04-28 15:00:00,1,3.1,2.79
2015-04-28 22:00:00,7,2.01,3.1
2015-04-29 00:00:00,2,2.34,2.01
2015-04-29 06:00:00,6,2.91,2.34
2015-04-29 07:00:00,1,2.09,2.91
2015-04-29 09:00:00,2,3.49,2.09
2015-04-29 10:00:00,1,2.18,3.49
2015-04-29 11:00:00,1,2.02,2.18
2015-04-29 13:00:00,2,2.89,2.02
2015-04-29 18:00:00,5,2.11,2.89
2015-04-29 19:00:00,1,2.96,2.11
2015-04-30 01:00:00,6,2.23,2.96
2015-04-30 14:00:00,13,3.41,2.23
2015-04-30 18:00:00,4,2.47,3.41
